         181553967 function calls (161947951 primitive calls) in 91.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   91.997   91.997 /mnt/c/Work/guga/syxg/midi_to_ogg.py:368(convert_midi_to_ogg)
        1    0.002    0.002   91.716   91.716 /mnt/c/Work/guga/syxg/midi_to_ogg.py:575(_process_midi_to_ogg)
      104    0.000    0.000   91.695    0.882 /mnt/c/Work/guga/syxg/midi_to_ogg.py:499(_process_audio_blocks)
      103    0.004    0.000   91.457    0.888 /mnt/c/Work/guga/syxg/synth/core/optimized_xg_synthesizer.py:289(generate_audio_block_sample_accurate)
      103    0.001    0.000   64.515    0.626 /mnt/c/Work/guga/syxg/synth/core/optimized_xg_synthesizer.py:401(_generate_audio_block_vectorized_optimized)
       51    0.002    0.000   64.509    1.265 /mnt/c/Work/guga/syxg/synth/xg/vectorized_channel_renderer.py:396(generate_sample_block_vectorized)
       51    0.227    0.004   64.494    1.265 /mnt/c/Work/guga/syxg/synth/xg/vectorized_channel_renderer.py:501(_process_notes_vectorized_batch)
    87360    1.545    0.000   64.267    0.001 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:341(generate_sample)
   165199    3.397    0.000   52.198    0.000 /mnt/c/Work/guga/syxg/synth/xg/partial_generator.py:200(generate_sample)
   876412    1.787    0.000   29.738    0.000 /mnt/c/Work/guga/syxg/synth/core/vectorized_envelope.py:330(process)
   316226    0.358    0.000   27.150    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/soundfont_manager.py:169(get_instrument)
       32    0.000    0.000   26.902    0.841 /mnt/c/Work/guga/syxg/synth/core/optimized_xg_synthesizer.py:230(send_midi_message)
       17    0.000    0.000   26.901    1.582 /mnt/c/Work/guga/syxg/synth/xg/vectorized_channel_renderer.py:179(note_on)
       17    0.000    0.000   26.901    1.582 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:16(__init__)
       17    0.000    0.000   26.880    1.581 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:73(_get_parameters)
        3    0.000    0.000   26.877    8.959 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:160(get_drum_parameters)
   876412    9.830    0.000   26.556    0.000 /mnt/c/Work/guga/syxg/synth/core/vectorized_envelope.py:250(process_block_vectorized)
        1    0.029    0.029   26.194   26.194 /mnt/c/Work/guga/syxg/synth/sf2/parsing/instrument_parser.py:67(parse_instrument_zones)
   158096    1.498    0.000   23.375    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:359(get_partial_table)
     5546   19.806    0.004   22.365    0.004 /mnt/c/Work/guga/syxg/synth/sf2/parsing/instrument_parser.py:228(_parse_zone_generators)
   316226    1.588    0.000   15.367    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:265(_merge_preset_and_instrument_params)
  4382060    2.447    0.000   15.132    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:2477(any)
  4382060    4.542    0.000   12.686    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
   316226    0.949    0.000   12.239    0.000 /mnt/c/Work/guga/syxg/midi_to_ogg.py:52(get_cached_params)
10751684/632452    4.481    0.000   11.238    0.000 /mnt/c/Work/guga/syxg/midi_to_ogg.py:55(make_hashable)
1264904/632452    2.000    0.000   10.480    0.000 {built-in method builtins.sorted}
10751684/1897356    2.971    0.000    9.992    0.000 /mnt/c/Work/guga/syxg/midi_to_ogg.py:57(<genexpr>)
  4382060    6.162    0.000    6.162    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   158113    4.439    0.000    5.574    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/soundfont_manager.py:118(get_preset)
     5546    2.748    0.000    3.698    0.001 /mnt/c/Work/guga/syxg/synth/sf2/parsing/instrument_parser.py:262(_parse_zone_modulators)
 72438481    3.471    0.000    3.471    0.000 {built-in method builtins.len}
  6134884    1.891    0.000    1.891    0.000 {method 'copy' of 'numpy.ndarray' objects}
  4382060    1.600    0.000    1.600    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:91(<dictcomp>)
 20746017    1.390    0.000    1.429    0.000 {built-in method builtins.isinstance}
   158062    0.327    0.000    1.406    0.000 /mnt/c/Work/guga/syxg/synth/core/filter.py:87(set_parameters)
   316260    0.856    0.000    1.079    0.000 /mnt/c/Work/guga/syxg/synth/core/filter.py:43(_calculate_coefficients)
